Date,"Total membership","Full Members",Guests,"Daily active members","Daily members posting messages","Weekly active members","Weekly members posting messages","Messages in public channels","Messages in private channels","Messages in shared channels","Messages in DMs","Percent of messages, public channels","Percent of messages, private channels","Percent of messages, DMs","Percent of views, public channels","Percent of views, private channels","Percent of views, DMs","Files uploaded","Messages posted by members",Name,"Public channels, single-workspace","Messages posted","Messages posted by apps"
2019-08-03,5,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0
2019-08-04,5,5,0,1,1,2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0
2019-08-05,5,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019-08-06,5,5,0,2,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
2019-08-07,5,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019-08-08,5,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019-08-09,5,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019-08-10,5,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019-08-11,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019-08-12,5,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2019-08-13,79,79,0,18,6,18,6,9,0,0,1,0.9,0,0.1,0.9412,0,0.0588,0,10,0,2,15,2
2019-08-14,84,84,0,50,29,54,31,29,89,0,4,0.2377,0.7295,0.0328,0.4848,0.4962,0.019,0,122,0,4,125,0
2019-08-15,86,86,0,46,15,64,40,17,25,0,2,0.3864,0.5682,0.0455,0.6066,0.3738,0.0197,0,44,0,4,44,0
2019-08-16,86,86,0,36,8,67,42,6,1,0,9,0.375,0.0625,0.5625,0.6914,0.2037,0.1049,0,16,0,4,24,0
2019-08-17,86,86,0,31,8,70,45,5,4,0,2,0.4545,0.3636,0.1818,0.6393,0.3197,0.041,0,11,0,4,11,0
2019-08-18,86,86,0,24,5,72,47,2,3,0,0,0.4,0.6,0,0.7609,0.1957,0.0435,0,5,0,4,6,0
2019-08-19,87,87,0,35,8,72,49,3,8,0,5,0.1875,0.5,0.3125,0.5909,0.2197,0.1894,0,16,0,4,29,0
2019-08-20,89,89,0,36,12,74,50,7,19,0,2,0.25,0.6786,0.0714,0.6564,0.3006,0.0429,0,28,0,4,31,0
2019-08-21,90,90,0,26,9,69,40,0,13,0,12,0,0.52,0.48,0.5041,0.3252,0.1707,0,25,0,4,29,0
2019-08-22,91,91,0,36,11,73,39,10,8,0,11,0.3448,0.2759,0.3793,0.7411,0.1696,0.0893,0,29,0,4,32,0
2019-08-23,93,93,0,44,17,74,42,5,19,0,14,0.1316,0.5,0.3684,0.5991,0.2703,0.1306,0,38,0,4,44,0
2019-08-24,95,95,0,24,6,72,44,1,9,0,0,0.1,0.9,0,0.4722,0.5185,0.0093,0,10,0,4,10,0
2019-08-25,97,97,0,43,11,75,44,11,6,0,0,0.6471,0.3529,0,0.7845,0.2026,0.0129,0,17,0,4,17,0
2019-08-26,99,99,0,61,18,80,47,15,16,0,10,0.3659,0.3902,0.2439,0.7965,0.1766,0.0269,3,41,0,4,48,0
2019-08-27,100,100,0,69,24,82,52,30,28,0,92,0.2,0.1867,0.6133,0.6524,0.1415,0.2061,5,150,0,4,175,4
2019-08-28,112,112,0,69,26,85,52,14,49,0,73,0.1029,0.3603,0.5368,0.6355,0.2005,0.164,5,136,0,4,156,2
2019-08-29,117,117,0,73,30,91,55,34,36,0,55,0.272,0.288,0.44,0.7052,0.1646,0.1301,0,125,0,5,132,0
2019-08-30,119,119,0,67,20,95,36,18,12,0,39,0.2609,0.1739,0.5652,0.7504,0.1274,0.1222,3,69,0,5,79,0
2019-08-31,120,120,0,43,6,94,56,4,0,0,146,0.0267,0,0.9733,0.5051,0.0364,0.4586,10,150,0,5,165,0
2019-09-01,121,121,0,36,3,91,56,0,0,0,115,0,0,1,0.3777,0.0288,0.5935,6,115,0,5,124,0
2019-09-02,121,121,0,46,5,90,52,1,1,0,168,0.0059,0.0059,0.9882,0.2914,0.0552,0.6534,3,170,0,5,178,0
2019-09-03,123,123,0,66,22,94,55,6,20,0,183,0.0287,0.0957,0.8756,0.371,0.1403,0.4887,5,209,0,6,217,0
2019-09-04,125,125,0,57,26,91,53,8,31,0,206,0.0327,0.1265,0.8408,0.3512,0.1989,0.4499,5,245,0,6,253,0
2019-09-05,126,126,0,53,20,89,50,41,14,0,88,0.2867,0.0979,0.6154,0.5806,0.1456,0.2738,13,143,0,8,162,1
2019-09-06,129,129,0,59,22,87,44,5,23,0,126,0.0325,0.1494,0.8182,0.3526,0.3465,0.3009,1,154,0,8,158,0
2019-09-07,130,130,0,45,12,89,46,8,6,0,218,0.0345,0.0259,0.9397,0.2659,0.1522,0.5819,3,232,0,7,243,1
2019-09-08,130,130,0,45,13,91,49,10,2,0,19,0.3226,0.0645,0.6129,0.4755,0.3951,0.1294,0,31,0,7,31,0
2019-09-09,131,131,0,45,14,92,51,5,10,0,72,0.0575,0.1149,0.8276,0.4045,0.1586,0.4369,2,87,0,7,94,0
2019-09-10,132,132,0,70,18,93,48,8,8,0,58,0.1081,0.1081,0.7838,0.6892,0.0888,0.222,1,74,0,7,77,0
2019-09-11,132,132,0,63,10,92,44,5,3,0,12,0.25,0.15,0.6,0.7399,0.1892,0.0709,0,20,0,8,23,0
2019-09-12,132,132,0,59,14,92,42,6,0,0,33,0.1538,0,0.8462,0.7339,0.0994,0.1667,0,39,0,8,41,0
2019-09-13,132,132,0,53,20,92,41,14,11,0,32,0.2456,0.193,0.5614,0.7738,0.0837,0.1425,1,57,0,8,61,0
2019-09-14,133,133,0,51,14,93,43,1,2,0,82,0.0118,0.0235,0.9647,0.4834,0.0453,0.4713,1,85,0,8,86,0
2019-09-15,134,134,0,51,10,93,43,12,1,0,3,0.75,0.0625,0.1875,0.9476,0.021,0.0315,1,16,0,8,18,0
2019-09-16,134,134,0,52,12,94,41,11,6,0,13,0.3667,0.2,0.4333,0.7833,0.0967,0.12,3,30,0,8,34,0
2019-09-17,134,134,0,36,7,87,38,0,0,0,49,0,0,1,0.5198,0.0793,0.4009,2,49,0,8,52,0
2019-09-18,134,134,0,45,11,79,36,4,9,0,38,0.0784,0.1765,0.7451,0.6634,0.0957,0.2409,1,51,0,8,53,0
2019-09-19,134,134,0,50,19,80,39,7,31,0,63,0.0693,0.3069,0.6238,0.5188,0.2381,0.2431,2,101,0,8,103,0
2019-09-20,134,134,0,49,17,78,41,7,4,0,170,0.0387,0.0221,0.9392,0.3737,0.1263,0.5,5,181,0,8,186,0
2019-09-21,134,134,0,33,11,78,35,0,2,0,31,0,0.0606,0.9394,0.4236,0.1597,0.4167,0,33,0,8,34,0
2019-09-22,134,134,0,38,4,73,34,1,0,0,9,0.1,0,0.9,0.773,0.0426,0.1844,1,10,0,8,13,0
2019-09-23,134,134,0,36,11,71,34,0,9,0,40,0,0.1837,0.8163,0.4817,0.1414,0.377,1,49,0,8,51,0
2019-09-24,134,134,0,58,14,78,37,2,10,0,28,0.05,0.25,0.7,0.6549,0.1294,0.2157,1,40,0,8,42,0
2019-09-25,134,134,0,51,15,77,40,10,0,0,21,0.3226,0,0.6774,0.7117,0.0586,0.2297,1,31,0,8,34,0
2019-09-26,134,134,0,45,10,79,36,9,0,0,19,0.3214,0,0.6786,0.794,0.0215,0.1845,0,28,0,8,30,1
2019-09-27,134,134,0,46,16,79,36,5,0,0,114,0.042,0,0.958,0.4745,0.0102,0.5153,6,119,0,8,129,0
2019-09-28,134,134,0,41,5,81,36,1,0,0,10,0.0909,0,0.9091,0.6415,0.1572,0.2013,2,11,0,8,13,0
2019-09-29,134,134,0,36,5,82,36,1,0,0,8,0.1111,0,0.8889,0.7757,0.0654,0.1589,1,9,0,8,10,0
2019-09-30,134,134,0,26,5,80,35,1,0,0,35,0.0278,0,0.9722,0.4586,0.0226,0.5188,2,36,0,8,42,0
2019-10-01,136,136,0,48,13,74,33,2,7,0,16,0.08,0.28,0.64,0.7619,0.1212,0.1169,2,25,0,9,31,0
2019-10-02,136,136,0,51,9,80,30,2,0,0,44,0.0435,0,0.9565,0.6142,0.0262,0.3596,4,46,0,9,63,1
2019-10-03,136,136,0,50,14,80,33,1,9,0,15,0.04,0.36,0.6,0.7742,0.1362,0.0896,2,25,0,9,35,0
2019-10-04,136,136,0,51,19,80,33,16,53,0,40,0.1468,0.4862,0.367,0.5524,0.2865,0.161,3,109,0,9,119,0
2019-10-05,137,137,0,35,4,79,33,2,0,0,17,0.1053,0,0.8947,0.6697,0.0642,0.2661,0,19,0,9,22,0
2019-10-06,137,137,0,55,4,81,32,4,0,0,17,0.1905,0,0.8095,0.7967,0.0495,0.1538,0,21,0,9,24,0
2019-10-07,137,137,0,53,11,85,31,5,0,0,60,0.0769,0,0.9231,0.5944,0.0402,0.3655,0,65,0,10,71,0
2019-10-08,137,137,0,47,7,84,29,7,0,0,10,0.4118,0,0.5882,0.8611,0.0222,0.1167,0,17,0,10,21,0
